dataset,variant_id,method,actual_hidden_count,beam_size,avg_distance_computations,avg_visible_distance_computations,avg_hidden_distance_computations,avg_hop_count,recall_at_1,recall_at_10,recall_at_k,true_top1_hit_in_topk
sift-128-euclidean,baseline_beam4,baseline,0,4,315.171,315.171,0.0,11.164,0.638,0.5838999999999998,0.3412199999999995,0.641
sift-128-euclidean,baseline_beam8,baseline,0,8,415.445,415.445,0.0,15.479,0.788,0.7374999999999977,0.4769599999999995,0.792
sift-128-euclidean,baseline_beam16,baseline,0,16,578.639,578.639,0.0,23.141,0.887,0.8535999999999974,0.6293199999999991,0.891
sift-128-euclidean,baseline_beam32,baseline,0,32,876.218,876.218,0.0,38.452,0.945,0.9261999999999964,0.7810000000000004,0.949
sift-128-euclidean,baseline_beam64,baseline,0,64,1418.643,1418.643,0.0,69.662,0.977,0.9700999999999985,0.8984400000000033,0.981
sift-128-euclidean,baseline_beam96,baseline,0,96,1914.908,1914.908,0.0,101.201,0.987,0.9834999999999984,0.9428600000000056,0.991
sift-128-euclidean,baseline_beam144,baseline,0,144,2603.78,2603.78,0.0,148.848,0.991,0.9901999999999987,0.968720000000005,0.995
sift-128-euclidean,baseline_beam216,baseline,0,216,3548.118,3548.118,0.0,220.61,0.994,0.9947999999999994,0.9828500000000044,0.998
sift-128-euclidean,baseline_beam324,baseline,0,324,4839.72,4839.72,0.0,328.357,0.995,0.9974999999999996,0.9910900000000036,0.999
sift-128-euclidean,baseline_beam486,baseline,0,486,6586.091,6586.091,0.0,490.165,0.996,0.9982999999999997,0.9954800000000019,1.0
sift-128-euclidean,baseline_beam729,baseline,0,729,8936.672,8936.672,0.0,732.938,0.996,0.9987999999999998,0.9977500000000014,1.0
sift-128-euclidean,baseline_beam1093,baseline,0,1093,12087.054,12087.054,0.0,1096.744,0.996,0.9987999999999998,0.9989600000000007,1.0
sift-128-euclidean,baseline_beam1639,baseline,0,1639,16285.994,16285.994,0.0,1642.556,0.996,0.9989999999999999,0.9994600000000003,1.0
sift-128-euclidean,baseline_beam2458,baseline,0,2458,21863.485,21863.485,0.0,2461.366,0.996,0.9989999999999999,0.9996900000000002,1.0
sift-128-euclidean,baseline_beam3687,baseline,0,3687,29231.473,29231.473,0.0,3690.166,0.996,0.9989999999999999,0.9997800000000001,1.0
sift-128-euclidean,baseline_beam5530,baseline,0,5530,38917.425,38917.425,0.0,5533.001,0.996,0.9989999999999999,0.9998500000000001,1.0
sift-128-euclidean,baseline_beam8295,baseline,0,8295,51571.095,51571.095,0.0,8297.817,0.996,0.9989999999999999,0.9998800000000001,1.0
sift-128-euclidean,baseline_beam12442,baseline,0,12442,67983.825,67983.825,0.0,12444.609,0.996,0.9989999999999999,0.9998900000000001,1.0
sift-128-euclidean,baseline_beam18663,baseline,0,18663,89172.92,89172.92,0.0,18665.397,0.996,0.9989999999999999,0.9998900000000001,1.0
sift-128-euclidean,baseline_beam27994,baseline,0,27994,116270.252,116270.252,0.0,27996.193,0.996,0.9989999999999999,0.9998900000000001,1.0
sift-128-euclidean,cluster_centroid_beam4,cluster_centroid,50000,4,288.395,153.485,134.91,9.738,0.533,0.4644999999999998,0.2542200000000005,0.536
