dataset,variant_id,method,actual_hidden_count,beam_size,avg_distance_computations,avg_visible_distance_computations,avg_hidden_distance_computations,avg_hop_count,recall_at_1,recall_at_10,recall_at_k,true_top1_hit_in_topk
nytimes-256-angular,baseline_beam4,baseline,0,4,146.229,146.229,0.0,7.516,0.084,0.08,0.04796000000000001,0.092
nytimes-256-angular,baseline_beam8,baseline,0,8,277.228,277.228,0.0,15.219,0.234,0.23590000000000028,0.1480200000000001,0.248
nytimes-256-angular,baseline_beam16,baseline,0,16,535.475,535.475,0.0,30.792,0.462,0.4804999999999996,0.33330999999999994,0.489
nytimes-256-angular,baseline_beam32,baseline,0,32,875.552,875.552,0.0,53.403,0.643,0.661399999999999,0.5079800000000001,0.676
nytimes-256-angular,baseline_beam64,baseline,0,64,1380.4,1380.4,0.0,89.872,0.743,0.7639999999999986,0.6350700000000002,0.783
nytimes-256-angular,baseline_beam96,baseline,0,96,1823.32,1823.32,0.0,123.406,0.787,0.8038999999999983,0.6903700000000011,0.829
nytimes-256-angular,baseline_beam144,baseline,0,144,2465.84,2465.84,0.0,172.105,0.818,0.8378999999999986,0.7273300000000009,0.864
nytimes-256-angular,baseline_beam216,baseline,0,216,3414.519,3414.519,0.0,242.695,0.842,0.8608999999999989,0.7536100000000024,0.892
nytimes-256-angular,baseline_beam324,baseline,0,324,4865.567,4865.567,0.0,348.258,0.853,0.8766999999999987,0.7790700000000013,0.906
nytimes-256-angular,baseline_beam486,baseline,0,486,7090.955,7090.955,0.0,506.333,0.87,0.8933999999999983,0.8056300000000018,0.924
nytimes-256-angular,baseline_beam729,baseline,0,729,10512.629,10512.629,0.0,746.436,0.878,0.9058999999999979,0.8325100000000021,0.932
nytimes-256-angular,baseline_beam1093,baseline,0,1093,15698.929,15698.929,0.0,1108.06,0.884,0.9165999999999977,0.858060000000002,0.938
nytimes-256-angular,baseline_beam1639,baseline,0,1639,23414.355,23414.355,0.0,1651.841,0.891,0.9259999999999978,0.8842400000000019,0.945
nytimes-256-angular,baseline_beam2458,baseline,0,2458,34569.12,34569.12,0.0,2468.457,0.895,0.9325999999999977,0.9065700000000027,0.95
nytimes-256-angular,cluster_centroid_beam4,cluster_centroid,14500,4,245.571,193.452,52.119,8.359,0.383,0.3530999999999997,0.20900999999999997,0.408
nytimes-256-angular,cluster_centroid_beam8,cluster_centroid,14500,8,366.565,302.309,64.256,13.993,0.507,0.5015999999999987,0.31074,0.539
nytimes-256-angular,cluster_centroid_beam16,cluster_centroid,14500,16,563.399,480.857,82.542,24.136,0.631,0.6458999999999984,0.43156,0.67
nytimes-256-angular,cluster_centroid_beam32,cluster_centroid,14500,32,886.517,774.937,111.58,42.417,0.734,0.7518999999999983,0.5535399999999993,0.777
nytimes-256-angular,cluster_centroid_beam64,cluster_centroid,14500,64,1452.832,1290.67,162.162,76.247,0.803,0.8216999999999984,0.6582300000000003,0.851
nytimes-256-angular,cluster_centroid_beam96,cluster_centroid,14500,96,1983.071,1773.612,209.459,108.799,0.837,0.8519999999999979,0.7119900000000008,0.888
nytimes-256-angular,cluster_centroid_beam144,cluster_centroid,14500,144,2737.058,2460.482,276.576,156.018,0.86,0.8713999999999981,0.7435900000000008,0.912
nytimes-256-angular,cluster_centroid_beam216,cluster_centroid,14500,216,3871.221,3492.503,378.718,226.483,0.875,0.8853999999999977,0.7696800000000009,0.927
nytimes-256-angular,cluster_centroid_beam324,cluster_centroid,14500,324,5583.113,5050.15,532.963,332.558,0.881,0.8941999999999981,0.7952600000000012,0.933
nytimes-256-angular,cluster_centroid_beam486,cluster_centroid,14500,486,8202.489,7436.531,765.958,492.905,0.889,0.9068999999999978,0.8231100000000019,0.942
nytimes-256-angular,cluster_centroid_beam729,cluster_centroid,14500,729,12143.119,11034.138,1108.981,734.539,0.892,0.9187999999999976,0.8512600000000032,0.946
nytimes-256-angular,cluster_centroid_beam1093,cluster_centroid,14500,1093,17987.92,16382.213,1605.707,1097.248,0.899,0.9294999999999972,0.8779800000000023,0.954
nytimes-256-angular,cluster_centroid_beam1639,cluster_centroid,14500,1639,26536.605,24234.083,2302.522,1642.169,0.907,0.9388999999999975,0.9021500000000029,0.963
nytimes-256-angular,cluster_centroid_beam2458,cluster_centroid,14500,2458,38696.309,35455.734,3240.575,2460.588,0.908,0.9451999999999979,0.9228400000000021,0.964
