dataset,variant_id,method,actual_hidden_count,beam_size,avg_distance_computations,avg_visible_distance_computations,avg_hidden_distance_computations,avg_hop_count,recall_at_1,recall_at_10,recall_at_k,true_top1_hit_in_topk
glove-200-angular,baseline_beam4,baseline,0,4,247.1,247.1,0.0,8.953,0.15,0.14789999999999984,0.0992300000000001,0.15
glove-200-angular,baseline_beam8,baseline,0,8,383.595,383.595,0.0,14.613,0.238,0.23699999999999966,0.17153000000000007,0.238
glove-200-angular,baseline_beam16,baseline,0,16,608.647,608.647,0.0,24.804,0.331,0.33189999999999986,0.2631300000000001,0.331
glove-200-angular,baseline_beam32,baseline,0,32,1000.834,1000.834,0.0,44.533,0.464,0.4613,0.3884299999999997,0.464
glove-200-angular,baseline_beam64,baseline,0,64,1663.331,1663.331,0.0,81.834,0.608,0.5987999999999991,0.5231599999999998,0.608
glove-200-angular,baseline_beam96,baseline,0,96,2218.83,2218.83,0.0,115.89,0.668,0.648899999999999,0.5804900000000002,0.668
glove-200-angular,baseline_beam144,baseline,0,144,3000.52,3000.52,0.0,166.688,0.731,0.7088999999999989,0.639420000000001,0.731
glove-200-angular,baseline_beam216,baseline,0,216,4094.041,4094.041,0.0,241.682,0.786,0.7656999999999987,0.696380000000001,0.786
glove-200-angular,baseline_beam324,baseline,0,324,5605.705,5605.705,0.0,351.557,0.829,0.8152999999999987,0.748660000000002,0.829
glove-200-angular,baseline_beam486,baseline,0,486,7682.72,7682.72,0.0,510.797,0.862,0.848199999999999,0.7854700000000008,0.862
glove-200-angular,baseline_beam729,baseline,0,729,10651.537,10651.537,0.0,749.596,0.887,0.8739999999999989,0.8166200000000015,0.887
glove-200-angular,baseline_beam1093,baseline,0,1093,14933.231,14933.231,0.0,1108.449,0.903,0.893999999999999,0.8438500000000028,0.903
glove-200-angular,baseline_beam1639,baseline,0,1639,21156.154,21156.154,0.0,1649.784,0.916,0.9129999999999988,0.8683200000000016,0.916
glove-200-angular,baseline_beam2458,baseline,0,2458,30171.376,30171.376,0.0,2465.67,0.931,0.9297999999999984,0.8913100000000022,0.931
glove-200-angular,baseline_beam3687,baseline,0,3687,43245.467,43245.467,0.0,3692.653,0.946,0.9443999999999977,0.9114000000000022,0.946
glove-200-angular,baseline_beam5530,baseline,0,5530,62080.656,62080.656,0.0,5533.84,0.96,0.9570999999999977,0.9295400000000025,0.96
glove-200-angular,baseline_beam8295,baseline,0,8295,88979.426,88979.426,0.0,8297.647,0.969,0.9655999999999976,0.9450300000000027,0.969
glove-200-angular,baseline_beam12442,baseline,0,12442,126814.31,126814.31,0.0,12443.857,0.976,0.974499999999998,0.9586600000000022,0.976
glove-200-angular,cluster_centroid_beam4,cluster_centroid,150000,4,274.385,146.968,127.417,9.01,0.277,0.23829999999999976,0.13178000000000012,0.277
glove-200-angular,cluster_centroid_beam8,cluster_centroid,150000,8,401.628,223.808,177.82,14.284,0.388,0.34200000000000014,0.20369000000000018,0.388
glove-200-angular,cluster_centroid_beam16,cluster_centroid,150000,16,613.576,356.626,256.95,23.824,0.497,0.4605000000000002,0.30466000000000015,0.497
glove-200-angular,cluster_centroid_beam32,cluster_centroid,150000,32,969.211,585.328,383.883,41.402,0.607,0.5714999999999989,0.4179400000000002,0.607
glove-200-angular,cluster_centroid_beam64,cluster_centroid,150000,64,1592.211,1001.633,590.578,75.186,0.712,0.6730999999999991,0.5329300000000006,0.712
glove-200-angular,cluster_centroid_beam96,cluster_centroid,150000,96,2149.103,1390.053,759.05,107.64,0.757,0.7210999999999981,0.5936200000000007,0.757
glove-200-angular,cluster_centroid_beam144,cluster_centroid,150000,144,2962.128,1962.151,999.977,156.569,0.803,0.7665999999999981,0.648120000000001,0.803
glove-200-angular,cluster_centroid_beam216,cluster_centroid,150000,216,4098.259,2776.81,1321.449,227.953,0.85,0.8044999999999991,0.6966300000000007,0.85
glove-200-angular,cluster_centroid_beam324,cluster_centroid,150000,324,5728.56,3966.352,1762.208,334.712,0.881,0.8371999999999994,0.740420000000002,0.881
glove-200-angular,cluster_centroid_beam486,cluster_centroid,150000,486,8067.384,5700.52,2366.864,494.12,0.906,0.8637999999999987,0.7791200000000008,0.906
glove-200-angular,cluster_centroid_beam729,cluster_centroid,150000,729,11485.955,8266.633,3219.322,735.101,0.93,0.8877999999999981,0.8136600000000012,0.93
glove-200-angular,cluster_centroid_beam1093,cluster_centroid,150000,1093,16455.491,12030.626,4424.865,1097.538,0.947,0.9115999999999986,0.8460700000000025,0.947
glove-200-angular,cluster_centroid_beam1639,cluster_centroid,150000,1639,23648.657,17535.197,6113.46,1642.564,0.958,0.9284999999999989,0.8748500000000023,0.958
glove-200-angular,cluster_centroid_beam2458,cluster_centroid,150000,2458,34049.805,25567.992,8481.813,2460.784,0.967,0.9444999999999981,0.9007200000000033,0.967
glove-200-angular,cluster_centroid_beam3687,cluster_centroid,150000,3687,49073.999,37289.549,11784.45,3688.987,0.974,0.9590999999999978,0.9232300000000034,0.974
glove-200-angular,cluster_centroid_beam5530,cluster_centroid,150000,5530,70625.902,54305.62,16320.282,5531.446,0.979,0.9701999999999972,0.9427700000000026,0.979
glove-200-angular,cluster_centroid_beam8295,cluster_centroid,150000,8295,101405.844,78920.128,22485.716,8296.132,0.984,0.9792999999999977,0.9586700000000035,0.984
