dataset,variant_id,method,actual_hidden_count,beam_size,avg_distance_computations,avg_visible_distance_computations,avg_hidden_distance_computations,avg_hop_count,recall_at_1,recall_at_10,recall_at_k,true_top1_hit_in_topk
yfcc-10M-u8-192-l2,baseline_beam4,baseline,0,4,315.668,315.668,0.0,11.468,0.649,0.5898999999999992,0.3817899999999999,0.649
yfcc-10M-u8-192-l2,baseline_beam8,baseline,0,8,420.354,420.354,0.0,16.163,0.794,0.7518999999999981,0.5405200000000006,0.794
yfcc-10M-u8-192-l2,baseline_beam16,baseline,0,16,573.178,573.178,0.0,24.098,0.888,0.8595999999999975,0.6942500000000005,0.888
yfcc-10M-u8-192-l2,baseline_beam32,baseline,0,32,830.625,830.625,0.0,39.577,0.935,0.927799999999997,0.8257500000000022,0.935
yfcc-10M-u8-192-l2,baseline_beam64,baseline,0,64,1281.993,1281.993,0.0,71.004,0.971,0.9654999999999977,0.9144600000000045,0.971
yfcc-10M-u8-192-l2,baseline_beam96,baseline,0,96,1684.142,1684.142,0.0,102.499,0.98,0.9793999999999985,0.9466100000000037,0.98
yfcc-10M-u8-192-l2,baseline_beam144,baseline,0,144,2244.755,2244.755,0.0,150.039,0.986,0.9875999999999987,0.9669400000000051,0.986
yfcc-10M-u8-192-l2,baseline_beam216,baseline,0,216,3016.761,3016.761,0.0,221.641,0.99,0.9919999999999991,0.9797700000000045,0.99
yfcc-10M-u8-192-l2,baseline_beam324,baseline,0,324,4076.642,4076.642,0.0,329.198,0.993,0.9949999999999994,0.9879500000000038,0.993
yfcc-10M-u8-192-l2,baseline_beam486,baseline,0,486,5534.441,5534.441,0.0,490.75,0.995,0.9971999999999998,0.9928300000000033,0.995
yfcc-10M-u8-192-l2,baseline_beam729,baseline,0,729,7537.76,7537.76,0.0,733.424,0.996,0.9977999999999997,0.9956800000000021,0.996
yfcc-10M-u8-192-l2,baseline_beam1093,baseline,0,1093,10273.987,10273.987,0.0,1096.994,0.998,0.9986999999999998,0.9974400000000014,0.998
yfcc-10M-u8-192-l2,baseline_beam1639,baseline,0,1639,14004.695,14004.695,0.0,1642.532,0.999,0.9990999999999998,0.9984100000000009,0.999
yfcc-10M-u8-192-l2,baseline_beam2458,baseline,0,2458,19146.517,19146.517,0.0,2461.24,0.999,0.9990999999999998,0.9989300000000008,0.999
yfcc-10M-u8-192-l2,baseline_beam3687,baseline,0,3687,26230.791,26230.791,0.0,3689.806,0.999,0.9992999999999999,0.9993600000000004,0.999
yfcc-10M-u8-192-l2,baseline_beam5530,baseline,0,5530,35929.616,35929.616,0.0,5532.364,0.999,0.9995999999999999,0.9996000000000004,0.999
yfcc-10M-u8-192-l2,baseline_beam8295,baseline,0,8295,49110.77,49110.77,0.0,8296.943,1.0,0.9996999999999999,0.9996900000000003,1.0
yfcc-10M-u8-192-l2,baseline_beam12442,baseline,0,12442,66935.815,66935.815,0.0,12443.554,1.0,0.9996999999999999,0.9997300000000002,1.0
yfcc-10M-u8-192-l2,baseline_beam18663,baseline,0,18663,90989.545,90989.545,0.0,18664.193,1.0,0.9996999999999999,0.9997600000000002,1.0
yfcc-10M-u8-192-l2,baseline_beam27994,baseline,0,27994,123766.134,123766.134,0.0,27994.932,1.0,0.9996999999999999,0.9997900000000002,1.0
yfcc-10M-u8-192-l2,cluster_centroid_beam4,cluster_centroid,250000,4,291.472,70.59,220.882,9.891,0.575,0.45689999999999986,0.21623,0.575
yfcc-10M-u8-192-l2,cluster_centroid_beam8,cluster_centroid,250000,8,376.219,105.383,270.836,13.921,0.712,0.6023000000000001,0.3270100000000003,0.712
yfcc-10M-u8-192-l2,cluster_centroid_beam16,cluster_centroid,250000,16,513.632,166.923,346.709,21.476,0.795,0.720299999999999,0.46864000000000033,0.795
