dataset,variant_id,method,actual_hidden_count,beam_size,avg_distance_computations,avg_visible_distance_computations,avg_hidden_distance_computations,avg_hop_count,recall_at_1,recall_at_10,recall_at_k,true_top1_hit_in_topk
nytimes-256-angular,baseline_beam4,baseline,0,4,183.215,183.215,0.0,8.073,0.303,0.28039999999999987,0.14284000000000008,0.303
nytimes-256-angular,baseline_beam8,baseline,0,8,300.861,300.861,0.0,14.084,0.463,0.42070000000000046,0.22696000000000022,0.463
nytimes-256-angular,baseline_beam16,baseline,0,16,493.953,493.953,0.0,24.207,0.626,0.5625999999999995,0.32988000000000023,0.627
nytimes-256-angular,baseline_beam32,baseline,0,32,823.441,823.441,0.0,41.474,0.748,0.6811999999999987,0.4412799999999993,0.749
nytimes-256-angular,baseline_beam64,baseline,0,64,1413.24,1413.24,0.0,72.565,0.869,0.7892999999999988,0.5699599999999996,0.87
nytimes-256-angular,baseline_beam96,baseline,0,96,1975.348,1975.348,0.0,103.097,0.912,0.843899999999998,0.6547999999999997,0.913
nytimes-256-angular,baseline_beam144,baseline,0,144,2775.989,2775.989,0.0,149.483,0.942,0.8918999999999963,0.7452300000000003,0.943
nytimes-256-angular,baseline_beam216,baseline,0,216,3860.924,3860.924,0.0,220.131,0.969,0.9335999999999954,0.8302799999999992,0.97
nytimes-256-angular,baseline_beam324,baseline,0,324,5233.044,5233.044,0.0,327.084,0.979,0.9636999999999954,0.9004099999999994,0.98
nytimes-256-angular,baseline_beam486,baseline,0,486,6800.296,6800.296,0.0,488.215,0.992,0.9820999999999976,0.9499100000000045,0.993
nytimes-256-angular,cluster_centroid_beam4,cluster_centroid,120,4,165.602,132.555,33.047,6.408,0.394,0.3562000000000003,0.1684200000000002,0.394
nytimes-256-angular,cluster_centroid_beam8,cluster_centroid,120,8,257.57,219.902,37.668,11.441,0.509,0.4594000000000005,0.23674000000000003,0.509
nytimes-256-angular,cluster_centroid_beam16,cluster_centroid,120,16,426.859,381.895,44.964,20.688,0.635,0.5679999999999995,0.32193000000000005,0.635
nytimes-256-angular,cluster_centroid_beam32,cluster_centroid,120,32,732.842,676.666,56.176,37.379,0.757,0.6761999999999991,0.42501,0.758
nytimes-256-angular,cluster_centroid_beam64,cluster_centroid,120,64,1295.356,1223.469,71.887,68.488,0.858,0.777499999999999,0.5485899999999997,0.859
nytimes-256-angular,cluster_centroid_beam96,cluster_centroid,120,96,1839.519,1756.416,83.103,99.563,0.898,0.8326999999999984,0.6318199999999997,0.899
nytimes-256-angular,cluster_centroid_beam144,cluster_centroid,120,144,2617.595,2522.68,94.915,146.548,0.933,0.8841999999999971,0.7250700000000014,0.934
nytimes-256-angular,cluster_centroid_beam216,cluster_centroid,120,216,3668.574,3563.305,105.269,217.544,0.962,0.925999999999995,0.8106099999999996,0.963
nytimes-256-angular,cluster_centroid_beam324,cluster_centroid,120,324,5014.997,4902.174,112.823,324.965,0.98,0.9585999999999956,0.8857000000000002,0.981
nytimes-256-angular,cluster_centroid_beam486,cluster_centroid,120,486,6579.988,6462.861,117.127,486.542,0.991,0.9796999999999972,0.9409200000000035,0.992
