dataset,variant_id,method,actual_hidden_count,beam_size,avg_distance_computations,avg_visible_distance_computations,avg_hidden_distance_computations,avg_hop_count,recall_at_1,recall_at_10,recall_at_k,true_top1_hit_in_topk
nytimes-256-angular,baseline_beam4,baseline,0,4,455.09,455.09,0.0,9.763,0.45,0.43189999999999934,0.27590999999999977,0.479
nytimes-256-angular,baseline_beam8,baseline,0,8,702.035,702.035,0.0,16.101,0.634,0.6452999999999984,0.42779999999999974,0.672
nytimes-256-angular,baseline_beam16,baseline,0,16,1028.528,1028.528,0.0,25.653,0.733,0.7563999999999981,0.5536499999999998,0.779
nytimes-256-angular,baseline_beam32,baseline,0,32,1565.843,1565.843,0.0,42.92,0.807,0.8321999999999985,0.6575700000000008,0.86
nytimes-256-angular,baseline_beam64,baseline,0,64,2528.717,2528.717,0.0,75.121,0.851,0.872199999999998,0.7382100000000008,0.908
nytimes-256-angular,baseline_beam96,baseline,0,96,3469.764,3469.764,0.0,106.827,0.869,0.8882999999999981,0.777420000000002,0.929
nytimes-256-angular,baseline_beam144,baseline,0,144,4872.077,4872.077,0.0,153.979,0.88,0.9047999999999978,0.8030400000000018,0.944
nytimes-256-angular,baseline_beam216,baseline,0,216,6988.822,6988.822,0.0,224.739,0.886,0.9153999999999977,0.8285400000000028,0.951
nytimes-256-angular,baseline_beam324,baseline,0,324,10220.257,10220.257,0.0,331.713,0.895,0.9264999999999978,0.8560700000000023,0.96
nytimes-256-angular,baseline_beam486,baseline,0,486,15090.716,15090.716,0.0,492.598,0.899,0.9369999999999974,0.8839500000000018,0.965
nytimes-256-angular,baseline_beam729,baseline,0,729,22291.566,22291.566,0.0,734.73,0.903,0.9454999999999971,0.9085300000000025,0.971
nytimes-256-angular,baseline_beam1093,baseline,0,1093,32678.776,32678.776,0.0,1097.902,0.907,0.953499999999997,0.929930000000002,0.976
nytimes-256-angular,cluster_centroid_beam4,cluster_centroid,43500,4,460.54,359.066,101.474,8.779,0.567,0.4994999999999995,0.30178000000000005,0.604
nytimes-256-angular,cluster_centroid_beam8,cluster_centroid,43500,8,669.33,533.184,136.146,14.097,0.699,0.6746999999999975,0.4261099999999998,0.746
nytimes-256-angular,cluster_centroid_beam16,cluster_centroid,43500,16,982.419,796.367,186.052,23.001,0.775,0.7853999999999981,0.5376999999999985,0.829
nytimes-256-angular,cluster_centroid_beam32,cluster_centroid,43500,32,1521.159,1250.736,270.423,39.458,0.83,0.8430999999999977,0.6333399999999989,0.89
nytimes-256-angular,cluster_centroid_beam64,cluster_centroid,43500,64,2529.543,2100.799,428.744,71.429,0.866,0.8856999999999982,0.7208700000000016,0.934
nytimes-256-angular,cluster_centroid_beam96,cluster_centroid,43500,96,3511.202,2928.031,583.171,103.093,0.873,0.9011999999999982,0.7668600000000021,0.944
nytimes-256-angular,cluster_centroid_beam144,cluster_centroid,43500,144,4968.772,4155.586,813.186,150.443,0.883,0.9140999999999981,0.8022200000000024,0.957
nytimes-256-angular,cluster_centroid_beam216,cluster_centroid,43500,216,7170.271,6007.802,1162.469,221.659,0.892,0.9279999999999976,0.8300000000000034,0.967
nytimes-256-angular,cluster_centroid_beam324,cluster_centroid,43500,324,10475.954,8790.316,1685.638,328.53,0.897,0.9393999999999972,0.8600800000000023,0.972
nytimes-256-angular,cluster_centroid_beam486,cluster_centroid,43500,486,15434.949,12971.675,2463.274,490.105,0.898,0.9476999999999972,0.8881200000000022,0.974
nytimes-256-angular,cluster_centroid_beam729,cluster_centroid,43500,729,22740.474,19142.723,3597.751,732.176,0.905,0.9569999999999973,0.9146400000000019,0.981
nytimes-256-angular,cluster_centroid_beam1093,cluster_centroid,43500,1093,33291.013,28085.19,5205.823,1095.614,0.909,0.9618999999999979,0.9360000000000038,0.985
