dataset,variant_id,method,actual_hidden_count,beam_size,avg_distance_computations,avg_visible_distance_computations,avg_hidden_distance_computations,avg_hop_count,recall_at_1,recall_at_10,recall_at_k,true_top1_hit_in_topk
fashion-mnist-784-euclidean,baseline_beam4,baseline,0,4,260.944,260.944,0.0,11.288,0.935,0.8845999999999948,0.5675500000000003,0.935
fashion-mnist-784-euclidean,baseline_beam8,baseline,0,8,317.069,317.069,0.0,14.929,0.974,0.9555999999999977,0.7128299999999996,0.974
fashion-mnist-784-euclidean,baseline_beam16,baseline,0,16,410.662,410.662,0.0,22.508,0.985,0.9829999999999989,0.8564400000000004,0.985
fashion-mnist-784-euclidean,baseline_beam32,baseline,0,32,562.279,562.279,0.0,38.169,0.992,0.9935999999999995,0.9529300000000067,0.992
fashion-mnist-784-euclidean,baseline_beam64,baseline,0,64,799.048,799.048,0.0,69.857,0.996,0.9975999999999997,0.9896400000000036,0.996
fashion-mnist-784-euclidean,baseline_beam96,baseline,0,96,994.215,994.215,0.0,101.624,0.998,0.9983999999999998,0.9958900000000019,0.998
fashion-mnist-784-euclidean,baseline_beam144,baseline,0,144,1245.294,1245.294,0.0,149.418,0.998,0.9988999999999999,0.9980600000000008,0.998
fashion-mnist-784-euclidean,baseline_beam216,baseline,0,216,1568.476,1568.476,0.0,221.173,0.999,0.9993999999999998,0.9990200000000005,0.999
fashion-mnist-784-euclidean,baseline_beam324,baseline,0,324,1984.346,1984.346,0.0,328.943,0.999,0.9996999999999999,0.9994700000000003,0.999
fashion-mnist-784-euclidean,baseline_beam486,baseline,0,486,2514.887,2514.887,0.0,490.682,0.999,0.9997999999999999,0.9997000000000001,0.999
fashion-mnist-784-euclidean,baseline_beam729,baseline,0,729,3194.183,3194.183,0.0,733.429,0.999,0.9999,0.9998700000000001,0.999
fashion-mnist-784-euclidean,baseline_beam1093,baseline,0,1093,4064.691,4064.691,0.0,1097.163,1.0,1.0,0.9999100000000001,1.0
fashion-mnist-784-euclidean,baseline_beam1639,baseline,0,1639,5208.975,5208.975,0.0,1642.774,1.0,1.0,0.99992,1.0
fashion-mnist-784-euclidean,baseline_beam2458,baseline,0,2458,6758.679,6758.679,0.0,2461.388,1.0,1.0,0.9999600000000001,1.0
fashion-mnist-784-euclidean,cluster_centroid_beam4,cluster_centroid,9000,4,314.386,230.767,83.619,9.953,0.931,0.8431999999999945,0.4957399999999992,0.931
fashion-mnist-784-euclidean,cluster_centroid_beam8,cluster_centroid,9000,8,368.98,276.655,92.325,13.594,0.967,0.9324999999999957,0.6334000000000003,0.967
fashion-mnist-784-euclidean,cluster_centroid_beam16,cluster_centroid,9000,16,462.615,356.166,106.449,21.22,0.986,0.9768999999999983,0.7920400000000001,0.986
fashion-mnist-784-euclidean,cluster_centroid_beam32,cluster_centroid,9000,32,613.956,485.46,128.496,36.904,0.994,0.9930999999999994,0.918400000000005,0.994
fashion-mnist-784-euclidean,cluster_centroid_beam64,cluster_centroid,9000,64,850.209,687.79,162.419,68.545,0.995,0.9964999999999997,0.979260000000006,0.995
fashion-mnist-784-euclidean,cluster_centroid_beam96,cluster_centroid,9000,96,1044.462,855.171,189.291,100.381,0.996,0.9974999999999998,0.9921100000000028,0.996
fashion-mnist-784-euclidean,cluster_centroid_beam144,cluster_centroid,9000,144,1297.278,1073.415,223.863,148.187,0.997,0.9985999999999998,0.9974100000000012,0.997
fashion-mnist-784-euclidean,cluster_centroid_beam216,cluster_centroid,9000,216,1619.988,1352.734,267.254,219.975,0.997,0.9989999999999998,0.9986800000000008,0.997
fashion-mnist-784-euclidean,cluster_centroid_beam324,cluster_centroid,9000,324,2041.827,1717.843,323.984,327.69,0.997,0.9992,0.9993000000000003,0.997
fashion-mnist-784-euclidean,cluster_centroid_beam486,cluster_centroid,9000,486,2578.062,2183.152,394.91,489.427,0.999,0.9995999999999999,0.9996200000000001,0.999
fashion-mnist-784-euclidean,cluster_centroid_beam729,cluster_centroid,9000,729,3268.217,2782.925,485.292,732.172,1.0,0.9999,0.9998100000000001,1.0
fashion-mnist-784-euclidean,cluster_centroid_beam1093,cluster_centroid,9000,1093,4153.265,3551.605,601.66,1095.888,1.0,1.0,0.9999000000000001,1.0
fashion-mnist-784-euclidean,cluster_centroid_beam1639,cluster_centroid,9000,1639,5308.15,4553.93,754.22,1641.547,1.0,1.0,0.99995,1.0
fashion-mnist-784-euclidean,cluster_centroid_beam2458,cluster_centroid,9000,2458,6863.377,5902.725,960.652,2460.108,1.0,1.0,0.9999600000000001,1.0
