dataset,variant_id,method,actual_hidden_count,beam_size,avg_distance_computations,avg_visible_distance_computations,avg_hidden_distance_computations,avg_hop_count,recall_at_1,recall_at_10,recall_at_k,true_top1_hit_in_topk
nytimes-256-angular,baseline_beam4,baseline,0,4,449.328,449.328,0.0,8.334,0.59,0.5270000000000002,0.30388000000000004,0.59
nytimes-256-angular,baseline_beam8,baseline,0,8,659.41,659.41,0.0,12.8,0.724,0.6377999999999998,0.3984999999999998,0.724
nytimes-256-angular,baseline_beam16,baseline,0,16,1018.932,1018.932,0.0,20.904,0.818,0.7335999999999994,0.5077600000000008,0.818
nytimes-256-angular,baseline_beam32,baseline,0,32,1658.272,1658.272,0.0,36.24,0.894,0.8279999999999997,0.6323999999999996,0.894
nytimes-256-angular,cluster_centroid_beam4,cluster_centroid,600,4,418.798,349.258,69.54,7.082,0.612,0.5318,0.30111999999999994,0.612
nytimes-256-angular,cluster_centroid_beam8,cluster_centroid,600,8,630.164,540.668,89.496,11.462,0.734,0.6283999999999995,0.38696,0.734
nytimes-256-angular,cluster_centroid_beam16,cluster_centroid,600,16,995.296,875.038,120.258,19.486,0.832,0.7269999999999993,0.4920199999999997,0.832
nytimes-256-angular,cluster_centroid_beam32,cluster_centroid,600,32,1639.89,1468.26,171.63,34.668,0.894,0.8155999999999995,0.6149800000000003,0.894
