dataset,variant_id,method,actual_hidden_count,beam_size,avg_distance_computations,avg_visible_distance_computations,avg_hidden_distance_computations,avg_hop_count,recall_at_1,recall_at_10,recall_at_k,true_top1_hit_in_topk
nytimes-256-angular,baseline_beam4,baseline,0,4,449.328,449.328,0.0,8.334,0.59,0.5270000000000002,0.30388000000000004,0.59
nytimes-256-angular,baseline_beam8,baseline,0,8,659.41,659.41,0.0,12.8,0.724,0.6377999999999998,0.3984999999999998,0.724
nytimes-256-angular,baseline_beam16,baseline,0,16,1018.932,1018.932,0.0,20.904,0.818,0.7335999999999994,0.5077600000000008,0.818
nytimes-256-angular,baseline_beam32,baseline,0,32,1658.272,1658.272,0.0,36.24,0.894,0.8279999999999997,0.6323999999999996,0.894
nytimes-256-angular,cluster_centroid_beam4,cluster_centroid,6000,4,391.882,277.2,114.682,7.18,0.606,0.4749999999999997,0.24796000000000004,0.606
nytimes-256-angular,cluster_centroid_beam8,cluster_centroid,6000,8,591.726,428.876,162.85,11.906,0.724,0.5968000000000004,0.3340599999999999,0.724
nytimes-256-angular,cluster_centroid_beam16,cluster_centroid,6000,16,915.29,674.804,240.486,20.228,0.824,0.7093999999999996,0.4332400000000004,0.824
nytimes-256-angular,cluster_centroid_beam32,cluster_centroid,6000,32,1490.856,1112.52,378.336,35.882,0.89,0.8023999999999996,0.5564999999999994,0.89
nytimes-256-angular,bridge_beam4,bridge,6000,4,451.886,363.602,88.284,8.194,0.634,0.5121999999999999,0.28437999999999997,0.634
nytimes-256-angular,bridge_beam8,bridge,6000,8,656.756,528.274,128.482,12.624,0.728,0.6212000000000004,0.3675400000000001,0.728
nytimes-256-angular,bridge_beam16,bridge,6000,16,1014.168,813.422,200.746,20.856,0.832,0.7268000000000004,0.4697000000000001,0.832
nytimes-256-angular,bridge_beam32,bridge,6000,32,1655.964,1322.73,333.234,36.288,0.898,0.8147999999999997,0.5917599999999998,0.898
