dataset,variant_id,method,actual_hidden_count,beam_size,avg_distance_computations,avg_visible_distance_computations,avg_hidden_distance_computations,avg_hop_count,recall_at_1,recall_at_10,recall_at_k,true_top1_hit_in_topk
nytimes-256-angular,baseline_beam4,baseline,0,4,449.328,449.328,0.0,8.334,0.59,0.5270000000000002,0.30388000000000004,0.59
nytimes-256-angular,baseline_beam8,baseline,0,8,659.41,659.41,0.0,12.8,0.724,0.6377999999999998,0.3984999999999998,0.724
nytimes-256-angular,baseline_beam16,baseline,0,16,1018.932,1018.932,0.0,20.904,0.818,0.7335999999999994,0.5077600000000008,0.818
nytimes-256-angular,baseline_beam32,baseline,0,32,1658.272,1658.272,0.0,36.24,0.894,0.8279999999999997,0.6323999999999996,0.894
nytimes-256-angular,cluster_centroid_beam4,cluster_centroid,1800,4,419.73,321.468,98.262,7.228,0.58,0.5087999999999999,0.28338000000000013,0.58
nytimes-256-angular,cluster_centroid_beam8,cluster_centroid,1800,8,624.684,491.388,133.296,11.57,0.69,0.6181999999999997,0.36986000000000013,0.69
nytimes-256-angular,cluster_centroid_beam16,cluster_centroid,1800,16,987.208,794.106,193.102,19.696,0.808,0.7263999999999998,0.4762199999999999,0.808
nytimes-256-angular,cluster_centroid_beam32,cluster_centroid,1800,32,1630.238,1334.77,295.468,35.036,0.884,0.8182000000000001,0.6000600000000003,0.884
