dataset,method,actual_hidden_count,recall_at_1_auc,recall_at_k_auc,best_variant_id,best_variant_beam_size,best_variant_recall_at_1,best_variant_recall_at_k,best_variant_avg_distance_computations,matched_beam_mean_delta_recall_at_1,matched_beam_mean_delta_recall_at_k,matched_beam_mean_delta_distance_computations,matched_beam_mean_delta_hop_count
fashion-mnist-784-euclidean,baseline,0,0.9912363223787442,0.9415103574351005,baseline_beam2458,2458,1.0,0.9997800000000002,6385.037,0.0,0.0,0.0,0.0
fashion-mnist-784-euclidean,cluster_centroid,9000,0.9891098128626145,0.9254133608673208,cluster_centroid_beam2458,2458,0.998,0.9992600000000005,6410.557,-0.0030000000000000027,-0.019812142857142657,19.73942857142857,-1.2292857142857128
