dataset,variant_id,method,actual_hidden_count,beam_size,avg_distance_computations,avg_visible_distance_computations,avg_hidden_distance_computations,avg_hop_count,recall_at_1,recall_at_10,recall_at_k,true_top1_hit_in_topk
nytimes-256-angular,baseline_beam4,baseline,0,4,449.328,449.328,0.0,8.334,0.59,0.5270000000000002,0.30388000000000004,0.59
nytimes-256-angular,baseline_beam8,baseline,0,8,659.41,659.41,0.0,12.8,0.724,0.6377999999999998,0.3984999999999998,0.724
nytimes-256-angular,baseline_beam16,baseline,0,16,1018.932,1018.932,0.0,20.904,0.818,0.7335999999999994,0.5077600000000008,0.818
nytimes-256-angular,baseline_beam32,baseline,0,32,1658.272,1658.272,0.0,36.24,0.894,0.8279999999999997,0.6323999999999996,0.894
nytimes-256-angular,cluster_centroid_beam4,cluster_centroid,120,4,392.12,351.562,40.558,6.644,0.624,0.5290000000000001,0.3088599999999998,0.624
nytimes-256-angular,cluster_centroid_beam8,cluster_centroid,120,8,598.044,551.862,46.182,10.878,0.734,0.6355999999999996,0.3937399999999998,0.734
nytimes-256-angular,cluster_centroid_beam16,cluster_centroid,120,16,973.718,919.116,54.602,19.088,0.816,0.7381999999999996,0.5025800000000002,0.816
nytimes-256-angular,cluster_centroid_beam32,cluster_centroid,120,32,1631.414,1564.278,67.136,34.438,0.896,0.8302,0.6295,0.896
nytimes-256-angular,bridge_beam4,bridge,120,4,446.842,445.994,0.848,8.304,0.59,0.5218000000000002,0.30148000000000025,0.59
nytimes-256-angular,bridge_beam8,bridge,120,8,660.166,658.902,1.264,12.838,0.722,0.6371999999999998,0.39766,0.722
nytimes-256-angular,bridge_beam16,bridge,120,16,1017.104,1015.144,1.96,20.932,0.816,0.7345999999999996,0.5064600000000008,0.816
nytimes-256-angular,bridge_beam32,bridge,120,32,1649.208,1645.916,3.292,36.188,0.89,0.8265999999999998,0.6304599999999997,0.89
